Primary_Key,State,Year,Enrollment,Total_Revenue,Federal_Revenue,State_Revenue,Local_Revenue,Total_Expenditure,Instruction_Expenditure,Support_Services_Expenditure,Other_Expenditure,Capital_Outlay_Expenditure,Net,Grade_PK,Grade_K,Grade_4,Grade_8,Grade_12,Grades_All,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score
2003_KENTUCKY,KY,2003,660782,4872025,503734,2904331,1463960,4700494,2688476,1473773,282473,127011,171531,32034,48182,47890,50186,38834,663369,229,274,219,266
2003_LOUISIANA,LA,2003,723252,5478321,739078,2638985,2100258,5515322,3009591,1645457,337709,409705,-37001,23187,56629,59928,60013,41270,727709,226,266,205,253
2003_MAINE,ME,2003,203848,2162605,163516,874208,1124881,2154117,1255095,569146,79491,137716,8488,1797,14021,14841,17321,14538,202084,238,282,224,268
2003_MARYLAND,MD,2003,866743,8700979,571108,3317403,4812468,8732518,4738579,2630831,385935,674852,-31539,21391,55485,65119,68967,55897,869113,233,278,219,262
2003_MASSACHUSETTS,MA,2003,967200,11591832,712487,4757632,6121713,11382398,6521028,3444135,356389,424368,209434,22533,69704,73478,78635,62389,980459,242,287,228,273
2003_MICHIGAN,MI,2003,1764327,18488359,1357006,11227903,5903450,19680370,8725075,6144707,844762,2453532,-1192011,21724,130527,127659,139797,108688,1757604,236,276,219,264
2003_MINNESOTA,MN,2003,825674,8484497,463746,6064474,1956277,8938770,4318736,2130933,613899,1204124,-454273,10876,59330,60045,67909,72608,842854,242,291,223,268
2003_MISSISSIPPI,MS,2003,491623,3260771,482904,1754451,1023416,3205193,1702193,965269,203597,267397,55578,2208,38340,38752,38231,25918,493540,223,261,205,255
2003_MISSOURI,MO,2003,921625,7622601,559732,3430809,3632060,7905481,4087984,2334521,448752,767068,-282880,11215,66509,66927,72806,61626,905941,235,279,222,267
2003_MONTANA,MT,2003,149801,1205602,171819,553269,480514,1214879,687104,384824,48570,75983,-9277,664,10147,10779,12409,11258,148356,236,286,223,270
2003_NEBRASKA,NE,2003,283934,2600831,225861,878715,1496255,2623966,1414919,683210,112145,329746,-23135,5920,20719,20480,22792,21872,285542,236,282,221,266
2003_NEVADA,NV,2003,369498,2778564,191839,1663026,923699,3009028,1406660,767835,88985,576610,-230464,2778,28596,30653,31392,18700,385401,228,268,207,252
2003_NEW_HAMPSHIRE,NH,2003,203702,2028602,101294,957471,969837,2122604,1119824,570036,60830,214807,-94002,2221,9989,15810,17703,14445,207417,243,286,228,271
2003_NEW_JERSEY,NJ,2003,1350330,19785039,797717,8135014,10852308,19812932,10169992,6429003,677268,1626453,-27893,22746,93201,99937,103603,84539,1380753,239,281,225,268
2003_NEW_MEXICO,NM,2003,320264,2626262,383513,1905419,337330,2658140,1239571,851701,131177,399406,-31878,3976,23636,24382,25857,19505,323066,223,263,203,252
2003_NEW_YORK,NY,2003,2879228,38033080,2591430,17509618,17932032,41603390,24786376,10000845,1156927,4489672,-3570310,41456,188638,206912,219335,163362,2864775,236,280,222,265
2003_NORTH_CAROLINA,NC,2003,1314632,9907235,888996,5970302,3047937,9989670,5517870,2721749,528694,940500,-82435,11686,109336,105411,108717,75918,1360209,242,281,221,262
2003_NORTH_DAKOTA,ND,2003,103785,882913,126023,306647,450243,895278,448720,239435,60008,81014,-12365,752,6891,7219,8245,8313,102233,238,287,222,270
2003_OHIO,OH,2003,1803966,18018740,1097349,7844992,9076399,18760200,8958790,6097596,800930,2324140,-741460,26151,134036,136776,147064,127993,1845428,238,282,222,267
2003_OKLAHOMA,OK,2003,624202,4426835,563974,2272785,1590076,4376502,2158574,1402007,453806,307213,50333,30203,46542,44829,47258,38601,626160,229,272,214,262
2003_OREGON,OR,2003,552135,4592019,407432,2348070,1836517,4978764,2458415,1546156,175667,606048,-386745,399,38785,40903,44711,40702,551273,236,281,218,264
2003_PENNSYLVANIA,PA,2003,1757066,19811545,1419644,6912678,11479223,20626459,10151195,5765734,810211,1848552,-814914,2588,118647,135765,150652,131199,1821146,236,279,219,264
2003_RHODE_ISLAND,RI,2003,157286,1728055,109011,713197,905847,1646238,971700,525727,64258,31360,81817,1473,10702,12429,13018,9957,159375,230,272,216,261
2003_SOUTH_CAROLINA,SC,2003,691736,5709707,535356,2761951,2412400,6024747,2888468,1731328,324241,865462,-315040,20107,50985,52715,53384,38273,699198,236,277,215,258
2003_SOUTH_DAKOTA,SD,2003,127632,965778,148498,328576,488704,993823,499480,295468,42694,122247,-28045,2132,9201,9140,10082,9566,125537,237,285,222,270
2003_TENNESSEE,TN,2003,905050,5994756,608447,2648909,2737400,6482671,3621601,1716956,341055,635950,-487915,16786,73202,70446,72505,54115,936682,228,268,212,258
2003_TEXAS,TX,2003,4201914,35143236,3360082,13675228,18107926,37333674,18009879,10264033,1731131,4764154,-2190438,194150,323502,321788,324381,243490,4331751,237,277,215,259
2003_UTAH,UT,2003,483066,2875622,263030,1607204,1005388,2957874,1508566,705128,205147,469251,-82252,8598,39348,36064,36386,34629,495981,235,281,219,264
2003_VERMONT,VT,2003,94901,1451171,79956,779124,592091,1440961,662999,345187,32289,46411,10210,3027,6078,7049,8098,7614,99103,242,286,226,271
2003_VIRGINIA,VA,2003,1175458,10504167,698716,4087720,5717731,10746679,5661291,3184333,425933,1069375,-242512,16524,86374,90729,95586,76477,1192092,239,282,223,268
2003_WASHINGTON,WA,2003,1014577,8565636,702469,5334268,2528899,8802387,4332487,2514359,396084,1189781,-236751,11352,70663,75108,82274,74338,1021349,238,281,221,264
2003_WEST_VIRGINIA,WV,2003,281591,2497707,267470,1519848,710389,2524444,1420396,761887,164473,166233,-26737,7911,20946,20753,22255,18554,281215,231,271,219,260
2003_WISCONSIN,WI,2003,875390,8931497,530014,4838109,3563374,9128279,4844788,2757563,346325,733156,-196782,26668,59372,61744,68663,69389,880031,237,284,221,266
