,State,Year,Total_Revenue,Total_Expenditure,Net,Grade_PK,Grades_All,Grade_12,Avg_Math_4_Score,Avg_Math_8_Score,Avg_Reading_4_Score,Avg_Reading_8_Score,us_region
90,Rhode Island,1993,919594.0,901540.0,18054,465.0,145676.0,8094.0,,,,,Northeast
91,South Carolina,1993,3031112.0,2994038.0,37074,7244.0,643696.0,33949.0,,,,,South
92,South Dakota,1993,465650.0,481665.0,-16015,612.0,142825.0,8936.0,,,,,Midwest
93,Tennessee,1993,3268642.0,3286481.0,-17839,9542.0,866557.0,47668.0,,,,,South
94,Texas,1993,20267205.0,18574871.0,1692334,120446.0,3608262.0,178889.0,,,,,South
95,Utah,1993,1638305.0,1665011.0,-26706,2690.0,471365.0,31692.0,,,,,West
96,Vermont,1993,837540.0,809853.0,27687,2024.0,102755.0,6227.0,,,,,Northeast
97,Virginia,1993,5918536.0,5955333.0,-36797,3186.0,1045471.0,60314.0,,,,,South
98,Washington,1993,5270961.0,5791436.0,-520475,5087.0,915952.0,55847.0,,,,,West
99,West Virginia,1993,1832154.0,1829848.0,2306,3981.0,314383.0,21507.0,,,,,South
100,Wisconsin,1993,5357945.0,5640718.0,-282773,17270.0,844001.0,53688.0,,,,,Midwest
101,Wyoming,1993,615130.0,614807.0,323,,100899.0,6548.0,,,,,West
102,Alabama,1994,2970223.0,3103266.0,-133043,9051.0,736531.0,41730.0,,,208.0,,South
103,Alaska,1994,1052282.0,1116160.0,-63878,2593.0,127057.0,7057.0,,,,,West
104,Arizona,1994,3566586.0,3803379.0,-236793,3540.0,737424.0,40119.0,,,206.0,,West
105,Arkansas,1994,1393287.0,1445984.0,-52697,1652.0,447565.0,27161.0,,,209.0,,South
106,California,1994,23440845.0,23012688.0,428157,66450.0,5407475.0,285132.0,,,197.0,,West
107,Colorado,1994,3061865.0,3113755.0,-51890,9853.0,640521.0,35464.0,,,213.0,,West
108,Connecticut,1994,4268860.0,4132350.0,136510,7601.0,506824.0,28640.0,,,222.0,,Northeast
109,Delaware,1994,705798.0,732323.0,-26525,618.0,106813.0,5865.0,,,206.0,,South
111,Florida,1994,12315950.0,12469073.0,-153123,47993.0,2111188.0,100720.0,,,205.0,,South
112,Georgia,1994,6824191.0,6597359.0,226832,12859.0,1270948.0,64606.0,,,207.0,,South
113,Hawaii,1994,1133949.0,1146267.0,-12318,631.0,183795.0,10473.0,,,201.0,,West
114,Idaho,1994,949999.0,974781.0,-24782,1501.0,240448.0,15780.0,,,,,West
115,Illinois,1994,11309803.0,10743708.0,566095,42938.0,1916172.0,109360.0,,,,,Midwest
116,Indiana,1994,6121754.0,6061435.0,60319,4660.0,969022.0,62727.0,,,220.0,,Midwest
117,Iowa,1994,2987394.0,2974072.0,13322,5901.0,500440.0,34078.0,,,223.0,,Midwest
118,Kansas,1994,2700587.0,2643192.0,57395,2640.0,460838.0,28811.0,,,,,Midwest
119,Kentucky,1994,2491948.0,2392549.0,99399,17934.0,657642.0,39482.0,,,212.0,,South
120,Louisiana,1994,3571864.0,3539581.0,32283,19292.0,797933.0,40666.0,,,197.0,,South
121,Maine,1994,1357116.0,1338353.0,18763,1006.0,212601.0,12534.0,,,228.0,,Northeast
122,Maryland,1994,5141505.0,5187683.0,-46178,18834.0,790938.0,43223.0,,,210.0,,South
123,Massachusetts,1994,6410757.0,6391131.0,19626,13982.0,893727.0,51618.0,,,223.0,,Northeast
124,Michigan,1994,11762546.0,12023935.0,-261389,4409.0,1614784.0,88136.0,,,,,Midwest
125,Minnesota,1994,5262482.0,5581140.0,-318658,8060.0,821693.0,55982.0,,,218.0,,Midwest
126,Mississippi,1994,1911579.0,1919812.0,-8233,1146.0,505962.0,26436.0,,,202.0,,South
127,Missouri,1994,4488359.0,4575564.0,-87205,16002.0,878541.0,52654.0,,,217.0,,Midwest
128,Montana,1994,878986.0,878084.0,902,483.0,164341.0,10681.0,,,222.0,,West
129,Nebraska,1994,1710913.0,1769248.0,-58335,3985.0,287100.0,19144.0,,,220.0,,Midwest
130,Nevada,1994,1266549.0,1344245.0,-77696,1424.0,250747.0,13659.0,,,,,West
131,New Hampshire,1994,1145147.0,1119762.0,25385,1210.0,189319.0,10919.0,,,223.0,,Northeast
132,New Jersey,1994,6957898.0,6765105.0,192793,10283.0,1174206.0,65662.0,,,219.0,,Northeast
133,New Mexico,1994,1342868.0,1223759.0,119109,4174.0,327248.0,16925.0,,,205.0,,West
134,New York,1994,23933662.0,25359726.0,-1426064,32227.0,2766208.0,144139.0,,,212.0,,Northeast
135,North Carolina,1994,5648390.0,5740906.0,-92516,8949.0,1156767.0,62324.0,,,214.0,,South
136,North Dakota,1994,603902.0,621313.0,-17411,639.0,119288.0,8418.0,,,225.0,,Midwest
137,Ohio,1994,10735756.0,10780138.0,-44382,17505.0,1814290.0,112266.0,,,,,Midwest
138,Oklahoma,1994,1518540.0,1529205.0,-10665,5367.0,609718.0,35899.0,,,,,South
139,Oregon,1994,3088542.0,3191792.0,-103250,1069.0,521945.0,33356.0,,,,,West
140,Pennsylvania,1994,13271564.0,13701725.0,-430161,3583.0,1764946.0,109673.0,,,215.0,,Northeast
141,Rhode Island,1994,1012987.0,994885.0,18102,469.0,147487.0,8440.0,,,220.0,,Northeast
142,South Carolina,1994,3179542.0,3156251.0,23291,7972.0,648725.0,35376.0,,,203.0,,South
143,South Dakota,1994,507927.0,525289.0,-17362,1244.0,143482.0,8925.0,,,,,Midwest
144,Tennessee,1994,3535898.0,3661470.0,-125572,10831.0,881425.0,49401.0,,,213.0,,South
145,Texas,1994,19713604.0,19224149.0,489455,128736.0,3677171.0,183737.0,,,212.0,,South
146,Utah,1994,1792011.0,1846448.0,-54437,3273.0,474675.0,33337.0,,,217.0,,West
147,Vermont,1994,892124.0,869710.0,22414,1903.0,104533.0,6458.0,,,,,Northeast
148,Virginia,1994,6125739.0,6276362.0,-150623,3115.0,1060809.0,62899.0,,,213.0,,South
149,Washington,1994,5739012.0,5968590.0,-229578,6155.0,938314.0,58150.0,,,213.0,,West
150,West Virginia,1994,1854403.0,1843973.0,10430,2754.0,310511.0,22058.0,,,213.0,,South
151,Wisconsin,1994,5682439.0,5860230.0,-177791,18531.0,860581.0,57407.0,,,224.0,,Midwest
152,Wyoming,1994,674921.0,623146.0,51775,,100314.0,6642.0,,,221.0,,West
153,Alabama,1995,3367437.0,3353363.0,14074,9324.0,746149.0,40981.0,,,,,South
154,Alaska,1995,1117068.0,1203817.0,-86749,2419.0,127618.0,7111.0,,,,,West
155,Arizona,1995,3815218.0,4056279.0,-241061,4027.0,743566.0,39197.0,,,,,West
156,Arkansas,1995,2057550.0,2155067.0,-97517,1525.0,453257.0,27083.0,,,,,South
157,California,1995,29512214.0,30097549.0,-585335,69182.0,5536406.0,287428.0,,,,,West
158,Colorado,1995,3709875.0,3766191.0,-56316,10472.0,656279.0,35480.0,,,,,West
159,Connecticut,1995,4420632.0,4252186.0,168446,8093.0,517935.0,28282.0,,,,,Northeast
160,Delaware,1995,802018.0,772669.0,29349,670.0,108461.0,6211.0,,,,,South
162,Florida,1995,13242710.0,13473977.0,-231267,51123.0,2176222.0,99519.0,,,,,South
163,Georgia,1995,7052825.0,7292267.0,-239442,22621.0,1311126.0,63736.0,,,,,South
164,Hawaii,1995,1173579.0,1157159.0,16420,609.0,187180.0,10478.0,,,,,West
165,Idaho,1995,1083215.0,1108075.0,-24860,1665.0,243097.0,16093.0,,,,,West
166,Illinois,1995,12236673.0,11821661.0,415012,45947.0,1943623.0,107244.0,,,,,Midwest
167,Indiana,1995,6514934.0,6377558.0,137376,4901.0,977263.0,62659.0,,,,,Midwest
168,Iowa,1995,3076971.0,3100772.0,-23801,5957.0,502343.0,34565.0,,,,,Midwest
169,Kansas,1995,2826943.0,2756682.0,70261,3209.0,463008.0,28491.0,,,,,Midwest
170,Kentucky,1995,3508673.0,3415870.0,92803,20290.0,659821.0,38797.0,,,,,South
171,Louisiana,1995,3791795.0,3735603.0,56192,19440.0,797366.0,40663.0,,,,,South
172,Maine,1995,1446745.0,1438795.0,7950,821.0,213569.0,12670.0,,,,,Northeast
173,Maryland,1995,5580123.0,5610071.0,-29948,19092.0,805544.0,42974.0,,,,,South
174,Massachusetts,1995,7326904.0,6706082.0,620822,14792.0,915007.0,51911.0,,,,,Northeast
175,Michigan,1995,12500208.0,12477806.0,22402,8870.0,1641456.0,87840.0,,,,,Midwest
176,Minnesota,1995,5744447.0,6155324.0,-410877,8340.0,835166.0,57793.0,,,,,Midwest
177,Mississippi,1995,2118973.0,2160068.0,-41095,1083.0,506272.0,25741.0,,,,,South
178,Missouri,1995,4852467.0,4957215.0,-104748,16225.0,889881.0,52939.0,,,,,Midwest
179,Montana,1995,911284.0,899635.0,11649,519.0,165547.0,10897.0,,,,,West
180,Nebraska,1995,1832463.0,1874253.0,-41790,3853.0,289744.0,19275.0,,,,,Midwest
181,Nevada,1995,1367710.0,1381200.0,-13490,1631.0,265041.0,14143.0,,,,,West
182,New Hampshire,1995,1197945.0,1232465.0,-34520,1357.0,194171.0,10996.0,,,,,Northeast
183,New Jersey,1995,11870183.0,11961696.0,-91513,9301.0,1197381.0,65647.0,,,,,Northeast
184,New Mexico,1995,1646265.0,1540683.0,105582,3426.0,329640.0,17078.0,,,,,West
185,New York,1995,25063999.0,26540967.0,-1476968,32087.0,2813230.0,142841.0,,,,,Northeast
186,North Carolina,1995,6076939.0,6217951.0,-141012,9013.0,1183090.0,59653.0,,,,,South
187,North Dakota,1995,642234.0,621904.0,20330,551.0,119100.0,8513.0,,,,,Midwest
188,Ohio,1995,11368650.0,11330046.0,38604,18997.0,1836015.0,114879.0,,,,,Midwest
189,Oklahoma,1995,3156526.0,3180275.0,-23749,5470.0,616393.0,35733.0,,,,,South
190,Oregon,1995,3302062.0,3255984.0,46078,855.0,527914.0,33202.0,,,,,West
191,Pennsylvania,1995,13957035.0,14135826.0,-178791,3502.0,1787533.0,111050.0,,,,,Northeast
192,Rhode Island,1995,1089859.0,1056716.0,33143,531.0,149799.0,8263.0,,,,,Northeast
193,South Carolina,1995,3389646.0,3286673.0,102973,8067.0,645586.0,34800.0,,,,,South
194,South Dakota,1995,684882.0,693964.0,-9082,1475.0,144685.0,9116.0,,,,,Midwest
195,Tennessee,1995,3870164.0,3958973.0,-88809,11168.0,893770.0,49319.0,,,,,South
196,Texas,1995,20483376.0,20198924.0,284452,133754.0,3748167.0,186229.0,,,,,South
197,Utah,1995,1953833.0,2045331.0,-91498,3455.0,477121.0,32006.0,,,,,West
198,Vermont,1995,934916.0,891398.0,43518,1111.0,105565.0,6507.0,,,,,Northeast
199,Virginia,1995,6354418.0,6590998.0,-236580,3111.0,1079854.0,62204.0,,,,,South
200,Washington,1995,5985425.0,6200754.0,-215329,5984.0,956572.0,59612.0,,,,,West
201,West Virginia,1995,1916605.0,1925100.0,-8495,3499.0,307112.0,21844.0,,,,,South
202,Wisconsin,1995,6006745.0,6056854.0,-50109,18045.0,870175.0,57791.0,,,,,Midwest
203,Wyoming,1995,634237.0,642935.0,-8698,,99859.0,6679.0,,,,,West
204,Alabama,1996,3365113.0,3572283.0,-207170,9633.0,747932.0,42510.0,,,,,South
205,Alaska,1996,1120346.0,1240031.0,-119685,2186.0,129919.0,7370.0,,,,,West
206,Arizona,1996,4143304.0,4391555.0,-248251,4495.0,799250.0,42041.0,,,,,West
207,Arkansas,1996,2183384.0,2297381.0,-113997,1980.0,457349.0,27613.0,,,,,South
208,California,1996,31282981.0,31561692.0,-278711,73233.0,5686198.0,298669.0,,,,,West
209,Colorado,1996,3891203.0,4075165.0,-183962,12520.0,673438.0,37179.0,,,,,West
210,Connecticut,1996,4686025.0,4538234.0,147791,9147.0,527129.0,28882.0,,,,,Northeast
211,Delaware,1996,860410.0,823530.0,36880,597.0,110549.0,6447.0,,,,,South
213,Florida,1996,13684457.0,13936240.0,-251783,53979.0,2242212.0,105469.0,,,,,South
214,Georgia,1996,7764687.0,7934236.0,-169549,25522.0,1346761.0,65527.0,,,,,South
215,Hawaii,1996,1199019.0,1231550.0,-32531,694.0,187653.0,10466.0,,,,,West
216,Idaho,1996,1134052.0,1198223.0,-64171,1689.0,245252.0,17075.0,,,,,West
217,Illinois,1996,12732129.0,12423100.0,309029,50857.0,1973040.0,123783.0,,,,,Midwest
218,Indiana,1996,6422662.0,6644035.0,-221373,5263.0,982876.0,62923.0,,,,,Midwest
219,Iowa,1996,3258040.0,3284185.0,-26145,5042.0,502941.0,35650.0,,,,,Midwest
220,Kansas,1996,2914544.0,3007653.0,-93109,3723.0,466293.0,29244.0,,,,,Midwest
221,Kentucky,1996,3622788.0,3826435.0,-203647,19428.0,656089.0,38460.0,,,,,South
